episode,total_reward,final_quality,episode_length,dev_calls,analyst_calls,reviewer_calls,policy_loss,value_loss,entropy
40,11.2,3.0,10,1,0,9,"tensor(-7.2583, grad_fn=<NegBackward0>)","tensor(84.4052, grad_fn=<MseLossBackward0>)","tensor(0.2412, grad_fn=<MeanBackward0>)"
41,10.299999999999999,4.0,10,0,0,10,"tensor(-4.5306, grad_fn=<NegBackward0>)","tensor(56.8932, grad_fn=<MseLossBackward0>)","tensor(0.1036, grad_fn=<MeanBackward0>)"
42,11.3,4.0,10,0,0,9,"tensor(-9.7793, grad_fn=<NegBackward0>)","tensor(117.3790, grad_fn=<MseLossBackward0>)","tensor(0.4268, grad_fn=<MeanBackward0>)"
43,5.3,4.0,10,0,1,9,"tensor(-3.4515, grad_fn=<NegBackward0>)","tensor(31.7258, grad_fn=<MseLossBackward0>)","tensor(0.1339, grad_fn=<MeanBackward0>)"
44,11.299999999999999,4.0,10,0,0,10,"tensor(-6.9898, grad_fn=<NegBackward0>)","tensor(76.1319, grad_fn=<MseLossBackward0>)","tensor(0.1740, grad_fn=<MeanBackward0>)"
45,11.3,4.0,10,0,0,10,"tensor(-6.1442, grad_fn=<NegBackward0>)","tensor(102.8841, grad_fn=<MseLossBackward0>)","tensor(0.1561, grad_fn=<MeanBackward0>)"
46,11.0,1.0,10,0,1,9,"tensor(-0.7965, grad_fn=<NegBackward0>)","tensor(46.6845, grad_fn=<MseLossBackward0>)","tensor(0.3043, grad_fn=<MeanBackward0>)"
47,11.3,4.0,10,0,0,10,"tensor(-7.4888, grad_fn=<NegBackward0>)","tensor(92.3192, grad_fn=<MseLossBackward0>)","tensor(0.1354, grad_fn=<MeanBackward0>)"
48,11.3,4.0,10,2,1,7,"tensor(-9.2836, grad_fn=<NegBackward0>)","tensor(116.6930, grad_fn=<MseLossBackward0>)","tensor(0.2836, grad_fn=<MeanBackward0>)"
49,11.700000000000001,8.0,10,0,0,10,"tensor(-10.4067, grad_fn=<NegBackward0>)","tensor(202.6926, grad_fn=<MseLossBackward0>)","tensor(0.2710, grad_fn=<MeanBackward0>)"
